yearstart,locationabbr,stratificationcategory1,stratification1,overweight_value,obesity_value,obesity_high_risk,overweight_high_risk
2011,AK,Age (years),18 - 24,32.0,19.8,0,0
2011,AK,Age (years),25 - 34,38.7,23.5,0,1
2011,AK,Age (years),35 - 44,38.9,29.5,0,1
2011,AK,Age (years),45 - 54,43.3,29.2,0,1
2011,AK,Age (years),55 - 64,38.9,33.4,1,1
2011,AK,Age (years),65 or older,40.9,29.3,0,1
2011,AK,Education,College graduate,39.9,22.1,0,1
2011,AK,Education,High school graduate,38.0,33.1,1,1
2011,AK,Education,Less than high school,35.3,28.8,0,1
2011,AK,Education,Some college or technical school,40.1,25.8,0,1
2011,AK,Income,"$15,000 - $24,999",33.5,30.2,0,0
2011,AK,Income,"$25,000 - $34,999",38.1,32.2,1,1
2011,AK,Income,"$35,000 - $49,999",42.3,24.5,0,1
2011,AK,Income,"$50,000 - $74,999",41.6,27.8,0,1
2011,AK,Income,"$75,000 or greater",39.9,26.9,0,1
2011,AK,Income,Data not reported,43.7,22.7,0,1
2011,AK,Income,"Less than $15,000",24.6,33.6,1,0
2011,AK,Race/Ethnicity,2 or more races,41.9,23.3,0,1
2011,AK,Race/Ethnicity,American Indian/Alaska Native,37.2,30.9,0,1
2011,AK,Race/Ethnicity,Hispanic,37.4,31.5,0,1
2011,AK,Race/Ethnicity,Non-Hispanic White,38.5,25.9,0,1
2011,AK,Race/Ethnicity,Other,29.8,35.5,1,0
2011,AK,Sex,Female,31.3,26.7,0,0
2011,AK,Sex,Male,45.3,28.0,0,1
2011,AK,Total,Total,38.9,27.4,0,1
2011,AL,Age (years),18 - 24,27.1,16.3,0,0
2011,AL,Age (years),25 - 34,31.9,35.2,1,0
2011,AL,Age (years),35 - 44,33.3,35.5,1,0
2011,AL,Age (years),45 - 54,35.8,38.0,1,1
2011,AL,Age (years),55 - 64,38.9,36.4,1,1
2011,AL,Age (years),65 or older,39.0,27.1,0,1
2011,AL,Education,College graduate,36.8,26.4,0,1
2011,AL,Education,High school graduate,34.1,32.8,1,0
2011,AL,Education,Less than high school,33.2,33.6,1,0
2011,AL,Education,Some college or technical school,35.0,33.8,1,1
2011,AL,Income,"$15,000 - $24,999",31.9,34.8,1,0
2011,AL,Income,"$25,000 - $34,999",35.7,35.8,1,1
2011,AL,Income,"$35,000 - $49,999",36.6,32.3,1,1
2011,AL,Income,"$50,000 - $74,999",36.1,34.1,1,1
2011,AL,Income,"$75,000 or greater",38.5,28.8,0,1
2011,AL,Income,Data not reported,36.0,23.8,0,1
2011,AL,Income,"Less than $15,000",28.4,38.5,1,0
2011,AL,Race/Ethnicity,2 or more races,30.4,27.8,0,0
2011,AL,Race/Ethnicity,American Indian/Alaska Native,31.4,32.9,1,0
2011,AL,Race/Ethnicity,Hispanic,34.5,28.6,0,0
2011,AL,Race/Ethnicity,Non-Hispanic Black,30.1,40.1,1,0
2011,AL,Race/Ethnicity,Non-Hispanic White,36.4,29.8,0,1
2011,AL,Sex,Female,30.5,31.8,1,0
2011,AL,Sex,Male,39.0,32.3,1,1
2011,AL,Total,Total,34.7,32.0,1,0
2011,AR,Age (years),18 - 24,27.3,23.0,0,0
2011,AR,Age (years),25 - 34,28.2,29.3,0,0
2011,AR,Age (years),35 - 44,34.4,32.9,1,0
2011,AR,Age (years),45 - 54,35.0,36.4,1,1
2011,AR,Age (years),55 - 64,38.3,36.9,1,1
2011,AR,Age (years),65 or older,39.4,26.1,0,1
2011,AR,Education,College graduate,33.8,26.4,0,0
2011,AR,Education,High school graduate,34.1,33.0,1,0
2011,AR,Education,Less than high school,33.2,31.1,0,0
2011,AR,Education,Some college or technical school,34.4,31.0,0,0
2011,AR,Income,"$15,000 - $24,999",30.4,30.4,0,0
2011,AR,Income,"$25,000 - $34,999",30.3,37.2,1,0
2011,AR,Income,"$35,000 - $49,999",33.6,31.7,1,0
2011,AR,Income,"$50,000 - $74,999",39.6,30.6,0,1
2011,AR,Income,"$75,000 or greater",39.6,27.8,0,1
2011,AR,Income,Data not reported,36.0,24.9,0,1
2011,AR,Income,"Less than $15,000",31.0,33.8,1,0
2011,AR,Race/Ethnicity,2 or more races,36.1,26.4,0,1
2011,AR,Race/Ethnicity,American Indian/Alaska Native,22.4,19.3,0,0
2011,AR,Race/Ethnicity,Hispanic,46.5,18.4,0,1
2011,AR,Race/Ethnicity,Non-Hispanic Black,35.3,38.1,1,1
2011,AR,Race/Ethnicity,Non-Hispanic White,32.7,31.0,0,0
2011,AR,Sex,Female,28.6,31.2,0,0
2011,AR,Sex,Male,39.3,30.7,0,1
2011,AR,Total,Total,33.9,30.9,0,0
2011,AZ,Age (years),18 - 24,27.7,18.7,0,0
2011,AZ,Age (years),25 - 34,36.7,23.6,0,1
2011,AZ,Age (years),35 - 44,38.6,25.4,0,1
2011,AZ,Age (years),45 - 54,41.9,29.6,0,1
2011,AZ,Age (years),55 - 64,39.3,29.9,0,1
2011,AZ,Age (years),65 or older,40.2,22.6,0,1
2011,AZ,Education,College graduate,38.0,17.4,0,1
2011,AZ,Education,High school graduate,37.3,25.2,0,1
2011,AZ,Education,Less than high school,34.5,36.2,1,0
2011,AZ,Education,Some college or technical school,39.5,25.9,0,1
2011,AZ,Income,"$15,000 - $24,999",34.9,32.3,1,1
2011,AZ,Income,"$25,000 - $34,999",37.2,26.5,0,1
2011,AZ,Income,"$35,000 - $49,999",43.6,20.7,0,1
2011,AZ,Income,"$50,000 - $74,999",39.0,25.1,0,1
2011,AZ,Income,"$75,000 or greater",38.4,19.7,0,1
2011,AZ,Income,Data not reported,41.5,19.6,0,1
2011,AZ,Income,"Less than $15,000",29.5,34.1,1,0
2011,AZ,Race/Ethnicity,2 or more races,29.3,20.8,0,0
2011,AZ,Race/Ethnicity,American Indian/Alaska Native,40.2,34.2,1,1
2011,AZ,Race/Ethnicity,Asian,26.7,13.0,0,0
2011,AZ,Race/Ethnicity,Hispanic,40.2,33.8,1,1
2011,AZ,Race/Ethnicity,Non-Hispanic Black,45.1,26.8,0,1
2011,AZ,Race/Ethnicity,Non-Hispanic White,37.0,21.2,0,1
2011,AZ,Sex,Female,29.1,25.8,0,0
2011,AZ,Sex,Male,46.1,24.4,0,1
2011,AZ,Total,Total,37.8,25.1,0,1
2011,CA,Age (years),18 - 24,26.8,14.5,0,0
2011,CA,Age (years),25 - 34,36.1,23.7,0,1
2011,CA,Age (years),35 - 44,38.1,25.9,0,1
2011,CA,Age (years),45 - 54,39.0,27.6,0,1
2011,CA,Age (years),55 - 64,38.1,27.6,0,1
2011,CA,Age (years),65 or older,38.2,21.2,0,1
2011,CA,Education,College graduate,35.6,15.3,0,1
2011,CA,Education,High school graduate,37.0,26.4,0,1
2011,CA,Education,Less than high school,40.3,32.9,1,1
2011,CA,Education,Some college or technical school,34.5,24.0,0,0
2011,CA,Income,"$15,000 - $24,999",35.7,30.1,0,1
2011,CA,Income,"$25,000 - $34,999",34.8,27.2,0,1
2011,CA,Income,"$35,000 - $49,999",38.4,22.1,0,1
2011,CA,Income,"$50,000 - $74,999",36.5,24.3,0,1
2011,CA,Income,"$75,000 or greater",38.2,17.7,0,1
2011,CA,Income,Data not reported,31.5,17.5,0,0
2011,CA,Income,"Less than $15,000",35.2,29.9,0,1
2011,CA,Race/Ethnicity,2 or more races,30.0,26.9,0,0
2011,CA,Race/Ethnicity,American Indian/Alaska Native,31.9,37.3,1,0
2011,CA,Race/Ethnicity,Asian,29.7,8.1,0,0
2011,CA,Race/Ethnicity,Hawaiian/Pacific Islander,26.2,23.2,0,0
2011,CA,Race/Ethnicity,Hispanic,39.8,30.3,0,1
2011,CA,Race/Ethnicity,Non-Hispanic Black,38.9,33.1,1,1
2011,CA,Race/Ethnicity,Non-Hispanic White,36.2,22.0,0,1
2011,CA,Sex,Female,28.5,24.5,0,0
2011,CA,Sex,Male,44.1,23.1,0,1
2011,CA,Total,Total,36.4,23.8,0,1
2011,CO,Age (years),18 - 24,23.4,10.2,0,0
2011,CO,Age (years),25 - 34,31.1,19.3,0,0
2011,CO,Age (years),35 - 44,38.6,22.7,0,1
2011,CO,Age (years),45 - 54,38.6,24.2,0,1
2011,CO,Age (years),55 - 64,38.3,24.2,0,1
2011,CO,Age (years),65 or older,38.9,20.2,0,1
2011,CO,Education,College graduate,35.0,15.6,0,1
2011,CO,Education,High school graduate,37.1,23.5,0,1
2011,CO,Education,Less than high school,37.6,25.7,0,1
2011,CO,Education,Some college or technical school,33.9,22.3,0,0
2011,CO,Income,"$15,000 - $24,999",35.8,24.2,0,1
2011,CO,Income,"$25,000 - $34,999",37.0,23.7,0,1
2011,CO,Income,"$35,000 - $49,999",34.3,21.3,0,0
2011,CO,Income,"$50,000 - $74,999",37.9,19.5,0,1
2011,CO,Income,"$75,000 or greater",36.8,18.3,0,1
2011,CO,Income,Data not reported,31.7,17.5,0,0
2011,CO,Income,"Less than $15,000",31.4,25.9,0,0
2011,CO,Race/Ethnicity,2 or more races,33.6,23.0,0,0
2011,CO,Race/Ethnicity,American Indian/Alaska Native,39.5,30.7,0,1
2011,CO,Race/Ethnicity,Asian,23.2,7.7,0,0
2011,CO,Race/Ethnicity,Hispanic,41.1,26.5,0,1
2011,CO,Race/Ethnicity,Non-Hispanic Black,31.5,34.2,1,0
2011,CO,Race/Ethnicity,Non-Hispanic White,34.7,18.9,0,0
2011,CO,Race/Ethnicity,Other,31.4,23.5,0,0
2011,CO,Sex,Female,26.7,20.3,0,0
2011,CO,Sex,Male,43.5,21.1,0,1
2011,CO,Total,Total,35.4,20.7,0,1
2011,CT,Age (years),18 - 24,21.3,16.1,0,0
2011,CT,Age (years),25 - 34,31.9,23.2,0,0
2011,CT,Age (years),35 - 44,35.9,25.4,0,1
2011,CT,Age (years),45 - 54,38.0,27.0,0,1
2011,CT,Age (years),55 - 64,37.6,28.6,0,1
2011,CT,Age (years),65 or older,40.1,23.7,0,1
2011,CT,Education,College graduate,36.1,16.7,0,1
2011,CT,Education,High school graduate,35.3,29.0,0,1
2011,CT,Education,Less than high school,37.4,31.2,0,1
2011,CT,Education,Some college or technical school,32.6,26.4,0,0
2011,CT,Income,"$15,000 - $24,999",32.1,28.7,0,0
2011,CT,Income,"$25,000 - $34,999",37.7,24.7,0,1
2011,CT,Income,"$35,000 - $49,999",34.7,27.5,0,0
2011,CT,Income,"$50,000 - $74,999",39.1,23.2,0,1
2011,CT,Income,"$75,000 or greater",35.9,20.7,0,1
2011,CT,Income,Data not reported,30.3,24.8,0,0
2011,CT,Income,"Less than $15,000",36.6,31.7,1,1
2011,CT,Race/Ethnicity,2 or more races,32.2,30.1,0,0
2011,CT,Race/Ethnicity,Asian,30.8,6.3,0,0
2011,CT,Race/Ethnicity,Hispanic,32.2,32.6,1,0
2011,CT,Race/Ethnicity,Non-Hispanic Black,39.2,32.8,1,1
2011,CT,Race/Ethnicity,Non-Hispanic White,35.4,23.0,0,1
2011,CT,Race/Ethnicity,Other,35.2,36.0,1,1
2011,CT,Sex,Female,28.3,23.6,0,0
2011,CT,Sex,Male,42.0,25.4,0,1
2011,CT,Total,Total,35.2,24.5,0,1
2011,DC,Age (years),18 - 24,22.3,8.5,0,0
2011,DC,Age (years),25 - 34,24.7,20.8,0,0
2011,DC,Age (years),35 - 44,33.3,22.0,0,0
2011,DC,Age (years),45 - 54,28.0,34.8,1,0
2011,DC,Age (years),55 - 64,33.4,30.6,0,0
2011,DC,Age (years),65 or older,34.6,26.3,0,0
2011,DC,Education,College graduate,30.4,11.9,0,0
2011,DC,Education,High school graduate,29.5,33.0,1,0
2011,DC,Education,Less than high school,25.1,39.7,1,0
2011,DC,Education,Some college or technical school,28.4,31.0,0,0
2011,DC,Income,"$15,000 - $24,999",29.1,35.3,1,0
2011,DC,Income,"$25,000 - $34,999",28.9,30.0,0,0
2011,DC,Income,"$35,000 - $49,999",25.6,27.6,0,0
2011,DC,Income,"$50,000 - $74,999",31.4,20.3,0,0
2011,DC,Income,"$75,000 or greater",32.9,12.7,0,0
2011,DC,Income,Data not reported,23.4,22.1,0,0
2011,DC,Income,"Less than $15,000",25.1,41.6,1,0
2011,DC,Race/Ethnicity,2 or more races,19.6,32.2,1,0
2011,DC,Race/Ethnicity,Asian,24.8,0.9,0,0
2011,DC,Race/Ethnicity,Hispanic,31.6,13.3,0,0
2011,DC,Race/Ethnicity,Non-Hispanic Black,28.9,36.7,1,0
2011,DC,Race/Ethnicity,Non-Hispanic White,28.9,10.7,0,0
2011,DC,Race/Ethnicity,Other,20.6,22.9,0,0
2011,DC,Sex,Female,23.9,28.4,0,0
2011,DC,Sex,Male,34.9,18.6,0,1
2011,DC,Total,Total,29.1,23.7,0,0
2011,DE,Age (years),18 - 24,22.5,14.2,0,0
2011,DE,Age (years),25 - 34,37.2,25.3,0,1
2011,DE,Age (years),35 - 44,34.2,33.2,1,0
2011,DE,Age (years),45 - 54,36.6,31.4,0,1
2011,DE,Age (years),55 - 64,36.0,36.1,1,1
2011,DE,Age (years),65 or older,40.1,28.9,0,1
2011,DE,Education,College graduate,37.0,24.1,0,1
2011,DE,Education,High school graduate,37.1,27.9,0,1
