feature,coefficient,abs_coef
stratification1_18 - 24,-5.826847346473797,5.826847346473797
stratification1_Asian,-5.413279472091609,5.413279472091609
locationabbr_CO,-4.255037198698358,4.255037198698358
locationabbr_WV,3.712951949688984,3.712951949688984
stratification1_College graduate,-3.0650150424408444,3.0650150424408444
locationabbr_MS,3.031969988565187,3.031969988565187
stratification1_45 - 54,2.99431942771753,2.99431942771753
stratification1_Non-Hispanic Black,2.9429589187073772,2.9429589187073772
locationabbr_HI,-2.8149295282659654,2.8149295282659654
stratification1_55 - 64,2.8088816279364264,2.8088816279364264
stratification1_Data not reported,-2.7617331731128467,2.7617331731128467
locationabbr_MA,-2.606223316127391,2.606223316127391
locationabbr_OK,2.508522779727592,2.508522779727592
locationabbr_LA,2.4171198522748276,2.4171198522748276
locationabbr_AL,2.3133559912904578,2.3133559912904578
stratification1_Hawaiian/Pacific Islander,2.264106861071562,2.264106861071562
locationabbr_AR,2.2228715684804405,2.2228715684804405
locationabbr_VT,-2.205617938469354,2.205617938469354
"stratification1_Less than $15,000",2.14697729586975,2.14697729586975
locationabbr_CA,-2.1423694274061127,2.1423694274061127
locationabbr_NY,-2.1159821343067455,2.1159821343067455
locationabbr_IN,2.057857025451772,2.057857025451772
locationabbr_UT,-1.991026265058364,1.991026265058364
stratification1_35 - 44,1.9569769703760107,1.9569769703760107
locationabbr_DC,-1.9502691240531491,1.9502691240531491
locationabbr_TN,1.906296791383938,1.906296791383938
locationabbr_KY,1.8829613493646082,1.8829613493646082
stratification1_Less than high school,1.8736402726355839,1.8736402726355839
locationabbr_MT,-1.8405188481187227,1.8405188481187227
locationabbr_NJ,-1.752767265377233,1.752767265377233
locationabbr_FL,-1.7506729212188992,1.7506729212188992
stratification1_American Indian/Alaska Native,1.6631359437323765,1.6631359437323765
locationabbr_IA,1.61628663374985,1.61628663374985
"stratification1_$15,000 - $24,999",1.5587244673428444,1.5587244673428444
locationabbr_OH,1.4988409125110245,1.4988409125110245
stratification1_65 or older,-1.4947453375439386,1.4947453375439386
locationabbr_KS,1.4617266949328511,1.4617266949328511
locationabbr_MI,1.4257663425530755,1.4257663425530755
locationabbr_SC,1.3945104999535873,1.3945104999535873
"stratification1_$75,000 or greater",-1.386279396925772,1.386279396925772
stratification1_Non-Hispanic White,-1.3118435327671463,1.3118435327671463
locationabbr_NV,-1.2819875485058705,1.2819875485058705
locationabbr_ND,1.1879223261147829,1.1879223261147829
locationabbr_CT,-1.1804182669887133,1.1804182669887133
locationabbr_MO,1.173718699794718,1.173718699794718
locationabbr_NE,1.116866588943729,1.116866588943729
locationabbr_NH,-1.1130543511360358,1.1130543511360358
stratification1_High school graduate,1.0448911923652169,1.0448911923652169
locationabbr_TX,1.0242588213478114,1.0242588213478114
locationabbr_RI,-0.9638759137551843,0.9638759137551843
locationabbr_OR,-0.9375799545987283,0.9375799545987283
locationabbr_WA,-0.9286128519084125,0.9286128519084125
locationabbr_DE,0.8523932756321109,0.8523932756321109
locationabbr_WI,0.8059435423005203,0.8059435423005203
locationabbr_WY,-0.7787309315062598,0.7787309315062598
stratificationcategory1_Income,0.7070350093008324,0.7070350093008324
locationabbr_ID,-0.6730736929628655,0.6730736929628655
stratification1_Some college or technical school,0.6611852789940147,0.6611852789940147
stratification1_Hispanic,0.6499299895985313,0.6499299895985313
"stratification1_$25,000 - $34,999",0.6366654999231044,0.6366654999231044
locationabbr_MN,-0.5969407037201192,0.5969407037201192
stratificationcategory1_Race/Ethnicity,0.5812644812474498,0.5812644812474498
locationabbr_AZ,-0.5409856343584948,0.5409856343584948
locationabbr_VI,-0.5191396890272771,0.5191396890272771
stratificationcategory1_Education,0.5147016181662699,0.5147016181662699
stratification1_Other,-0.5136917717576068,0.5136917717576068
locationabbr_NC,0.509258725977077,0.509258725977077
locationabbr_NM,-0.5070145892005492,0.5070145892005492
"stratification1_$35,000 - $49,999",0.4854297854262446,0.4854297854262446
stratification1_25 - 34,-0.48341521075994875,0.48341521075994875
locationabbr_PA,0.46130282207813095,0.46130282207813095
locationabbr_GA,0.4198419648051045,0.4198419648051045
locationabbr_SD,0.3675790170647752,0.3675790170647752
yearstart,0.3135614971188867,0.3135614971188867
stratification1_2 or more races,0.29994746667216315,0.29994746667216315
locationabbr_AK,-0.29610662463837367,0.29610662463837367
locationabbr_IL,0.2508406472451923,0.2508406472451923
locationabbr_ME,-0.2083569526946644,0.2083569526946644
locationabbr_US,0.18643760175165344,0.18643760175165344
locationabbr_PR,-0.10230530340097772,0.10230530340097772
locationabbr_MD,0.08136694983202782,0.08136694983202782
locationabbr_GU,-0.07742774713147928,0.07742774713147928
locationabbr_VA,0.07331679965236634,0.07331679965236634
stratificationcategory1_Age (years),-0.04482990877311149,0.04482990877311149
stratification1_Female,0.04367057760718371,0.04367057760718371
stratificationcategory1_Sex,0.0388532369451284,0.0388532369451284
stratificationcategory1_Total,0.034037170466819235,0.034037170466819235
stratification1_Total,0.034037170466819235,0.034037170466819235
"stratification1_$50,000 - $74,999",0.02725040103822983,0.02725040103822983
stratification1_Male,-0.004817296193775739,0.004817296193775739
