feature,coefficient,abs_coef
stratification1_18 - 24,-5.691869628492855,5.691869628492855
stratification1_Asian,-5.50724931057335,5.50724931057335
locationabbr_CO,-4.412768991928578,4.412768991928578
locationabbr_WV,3.797251629471261,3.797251629471261
stratification1_College graduate,-3.143394385340601,3.143394385340601
locationabbr_MS,2.9304746576493996,2.9304746576493996
stratification1_Non-Hispanic Black,2.922259520965032,2.922259520965032
stratification1_45 - 54,2.893205376442545,2.893205376442545
locationabbr_HI,-2.8562191033333098,2.8562191033333098
stratification1_Data not reported,-2.843932037970218,2.843932037970218
stratification1_55 - 64,2.705110675174966,2.705110675174966
locationabbr_MA,-2.6402504866673038,2.6402504866673038
locationabbr_OK,2.4961676032992153,2.4961676032992153
locationabbr_LA,2.3818633616857556,2.3818633616857556
locationabbr_AL,2.2805025062344635,2.2805025062344635
locationabbr_VT,-2.2218876672558268,2.2218876672558268
locationabbr_AR,2.184505809221283,2.184505809221283
locationabbr_CA,-2.165489797648223,2.165489797648223
stratification1_Hawaiian/Pacific Islander,2.1644703046813176,2.1644703046813176
locationabbr_NY,-2.144114516508469,2.144114516508469
"stratification1_Less than $15,000",2.1063052132718023,2.1063052132718023
locationabbr_UT,-2.0135904932333,2.0135904932333
locationabbr_IN,2.0033406866450725,2.0033406866450725
locationabbr_DC,-1.9764800556751436,1.9764800556751436
stratification1_35 - 44,1.874741609366579,1.874741609366579
locationabbr_MT,-1.8596999220927506,1.8596999220927506
locationabbr_TN,1.8579471954851972,1.8579471954851972
locationabbr_KY,1.8391292350063453,1.8391292350063453
stratification1_Less than high school,1.7827135304528143,1.7827135304528143
locationabbr_NJ,-1.7751395237187233,1.7751395237187233
locationabbr_FL,-1.7713758191950273,1.7713758191950273
stratification1_American Indian/Alaska Native,1.6544146992939026,1.6544146992939026
stratification1_65 or older,-1.5762419657352844,1.5762419657352844
locationabbr_IA,1.5624595137615633,1.5624595137615633
"stratification1_$15,000 - $24,999",1.5111330816436899,1.5111330816436899
locationabbr_OH,1.4668274035562152,1.4668274035562152
"stratification1_$75,000 or greater",-1.4581825303513416,1.4581825303513416
locationabbr_KS,1.4186417370495426,1.4186417370495426
locationabbr_MI,1.3928610607157623,1.3928610607157623
stratification1_Non-Hispanic White,-1.3607472611974187,1.3607472611974187
locationabbr_SC,1.3589046923405728,1.3589046923405728
locationabbr_NV,-1.313887265990145,1.313887265990145
yearstart_scaled,1.2680077079652856,1.2680077079652856
locationabbr_CT,-1.2138939386487833,1.2138939386487833
locationabbr_ND,1.1483897688904476,1.1483897688904476
locationabbr_NH,-1.1440438151013272,1.1440438151013272
locationabbr_MO,1.1415476898850907,1.1415476898850907
locationabbr_NE,1.0854377394261587,1.0854377394261587
locationabbr_RI,-1.0035408869328493,1.0035408869328493
locationabbr_TX,0.99029500062798,0.99029500062798
locationabbr_OR,-0.9685569479337734,0.9685569479337734
locationabbr_WA,-0.9640782125703582,0.9640782125703582
stratification1_High school graduate,0.9585926977823632,0.9585926977823632
locationabbr_DE,0.81873452779909,0.81873452779909
locationabbr_WY,-0.8082223991981328,0.8082223991981328
locationabbr_WI,0.7734746079867235,0.7734746079867235
locationabbr_ID,-0.7050552511859582,0.7050552511859582
locationabbr_MN,-0.6419825448510021,0.6419825448510021
stratification1_Hispanic,0.6177579664187058,0.6177579664187058
locationabbr_VI,-0.5941115109139655,0.5941115109139655
"stratification1_$25,000 - $34,999",0.5895446017543046,0.5895446017543046
stratification1_25 - 34,-0.5880267095095462,0.5880267095095462
locationabbr_AZ,-0.5755300254224583,0.5755300254224583
stratification1_Some college or technical school,0.5718307670300178,0.5718307670300178
stratification1_Other,-0.5561865858872177,0.5561865858872177
locationabbr_NM,-0.537720616722099,0.537720616722099
locationabbr_NC,0.47293834758704595,0.47293834758704595
"stratification1_$35,000 - $49,999",0.43758651096453577,0.43758651096453577
locationabbr_PA,0.42458254284918606,0.42458254284918606
locationabbr_GA,0.389311038530597,0.389311038530597
stratificationcategory1_Age (years),-0.3830806427535839,0.3830806427535839
locationabbr_SD,0.34082413139452894,0.34082413139452894
locationabbr_AK,-0.33081038234145554,0.33081038234145554
stratificationcategory1_Income,0.3273524349309241,0.3273524349309241
stratification1_2 or more races,0.2545544092050781,0.2545544092050781
locationabbr_ME,-0.23725704932400965,0.23725704932400965
stratificationcategory1_Sex,-0.23637142837257344,0.23637142837257344
locationabbr_IL,0.2149042517446042,0.2149042517446042
stratificationcategory1_Race/Ethnicity,0.18927374290604743,0.18927374290604743
locationabbr_US,0.17065490617463258,0.17065490617463258
stratificationcategory1_Education,0.16974260992458942,0.16974260992458942
stratification1_Total,-0.16960316043984214,0.16960316043984214
stratificationcategory1_Total,-0.16960316043984214,0.16960316043984214
stratification1_Male,-0.14352068407240562,0.14352068407240562
locationabbr_PR,-0.13459025207506736,0.13459025207506736
locationabbr_GU,-0.12473268765584891,0.12473268765584891
stratification1_Female,-0.09285074430016671,0.09285074430016671
locationabbr_MD,0.04983406052159209,0.04983406052159209
locationabbr_VA,0.040538014780095166,0.040538014780095166
"stratification1_$50,000 - $74,999",-0.015102404381857858,0.015102404381857858
