feature,coefficient,abs_coef
stratification1_18 - 24,-5.088294538722734,5.088294538722734
stratification1_Female,-5.073523883072279,5.073523883072279
stratification1_Male,4.680971451241251,4.680971451241251
stratification1_65 or older,3.41605478499153,3.41605478499153
"stratification1_Less than $15,000",-2.6147177306317553,2.6147177306317553
"stratification1_$75,000 or greater",2.5118433841602967,2.5118433841602967
locationabbr_DC,-2.385025241917291,2.385025241917291
stratification1_College graduate,2.1130127746286385,2.1130127746286385
stratification1_55 - 64,1.811108588311532,1.811108588311532
stratification1_25 - 34,-1.7036400570484675,1.7036400570484675
locationabbr_PR,1.5568113306269193,1.5568113306269193
"stratification1_$15,000 - $24,999",-1.4465077161047002,1.4465077161047002
locationabbr_WV,-1.4387987351221512,1.4387987351221512
locationabbr_NJ,1.3578008254792258,1.3578008254792258
"stratification1_$50,000 - $74,999",1.2851415746870452,1.2851415746870452
locationabbr_LA,-1.2504379670969996,1.2504379670969996
locationabbr_MS,-1.194666078660626,1.194666078660626
stratification1_Non-Hispanic White,1.1375430738977095,1.1375430738977095
stratification1_Hawaiian/Pacific Islander,-1.0661629740125838,1.0661629740125838
locationabbr_CA,1.0313038340381828,1.0313038340381828
stratification1_45 - 54,1.0311889461965857,1.0311889461965857
stratification1_Hispanic,1.0140887803238166,1.0140887803238166
locationabbr_AR,-0.9829193287152351,0.9829193287152351
locationabbr_AL,-0.9708229764694396,0.9708229764694396
stratification1_Asian,-0.9012939572610544,0.9012939572610544
stratification1_Less than high school,-0.8916773189286631,0.8916773189286631
locationabbr_CT,0.8883421635122122,0.8883421635122122
locationabbr_NV,0.7964674800342053,0.7964674800342053
locationabbr_IN,-0.764809186869698,0.764809186869698
stratificationcategory1_Race/Ethnicity,-0.7601809496745322,0.7601809496745322
locationabbr_NH,0.7464689295474157,0.7464689295474157
stratification1_High school graduate,-0.7367553625509705,0.7367553625509705
locationabbr_KY,-0.7305841487156705,0.7305841487156705
locationabbr_MI,-0.7241648599617514,0.7241648599617514
locationabbr_FL,0.6913282240030003,0.6913282240030003
locationabbr_MT,0.6869147740974163,0.6869147740974163
locationabbr_NM,0.6736270517461216,0.6736270517461216
stratification1_2 or more races,-0.6687587736432475,0.6687587736432475
locationabbr_OH,-0.6476443989164149,0.6476443989164149
locationabbr_UT,-0.6447732441560231,0.6447732441560231
locationabbr_HI,-0.6395446902649515,0.6395446902649515
locationabbr_ID,0.6168831936143411,0.6168831936143411
locationabbr_WY,0.6044477352542993,0.6044477352542993
stratification1_Data not reported,-0.6006770689131571,0.6006770689131571
locationabbr_CO,0.5682641941950137,0.5682641941950137
locationabbr_KS,-0.5566162371473098,0.5566162371473098
stratification1_Some college or technical school,-0.5324469725110296,0.5324469725110296
stratificationcategory1_Income,-0.5274864842233407,0.5274864842233407
"stratification1_$35,000 - $49,999",0.5255451270795096,0.5255451270795096
locationabbr_MO,-0.5050806717671964,0.5050806717671964
locationabbr_RI,0.5008280244821998,0.5008280244821998
locationabbr_SC,-0.47286587221542237,0.47286587221542237
locationabbr_VT,-0.4693696483787278,0.4693696483787278
locationabbr_TN,-0.45178108907208014,0.45178108907208014
locationabbr_MN,0.44203225652929434,0.44203225652929434
locationabbr_ND,0.4382975589240098,0.4382975589240098
stratificationcategory1_Sex,-0.3925524443989758,0.3925524443989758
locationabbr_NY,0.377313395573749,0.377313395573749
locationabbr_OK,-0.36856157611602763,0.36856157611602763
locationabbr_SD,0.3613370897795563,0.3613370897795563
stratification1_Other,0.3527386982023504,0.3527386982023504
stratification1_35 - 44,0.34931606830606343,0.34931606830606343
stratification1_American Indian/Alaska Native,-0.32435300034554915,0.32435300034554915
locationabbr_NE,0.3232573685734704,0.3232573685734704
locationabbr_GA,-0.31535216051163933,0.31535216051163933
stratification1_Non-Hispanic Black,-0.30398279839708037,0.30398279839708037
locationabbr_AZ,0.28266963998688316,0.28266963998688316
locationabbr_NC,0.2653244818166557,0.2653244818166557
locationabbr_MA,0.24693070956747504,0.24693070956747504
locationabbr_TX,0.2388369307240513,0.2388369307240513
locationabbr_IA,-0.22887114364516586,0.22887114364516586
locationabbr_WI,0.1992036611716966,0.1992036611716966
locationabbr_US,0.19322392042565642,0.19322392042565642
"stratification1_$25,000 - $34,999",-0.18811403451187267,0.18811403451187267
locationabbr_GU,-0.18547161034043425,0.18547161034043425
stratificationcategory1_Age (years),-0.18426618103826906,0.18426618103826906
locationabbr_WA,0.16629038332409043,0.16629038332409043
locationabbr_PA,-0.11701748620339558,0.11701748620339558
locationabbr_OR,-0.10931518399198602,0.10931518399198602
yearstart,-0.10088867644668599,0.10088867644668599
locationabbr_ME,-0.10014594337040965,0.10014594337040965
locationabbr_AK,0.06819221978349227,0.06819221978349227
stratificationcategory1_Education,-0.047866921804443276,0.047866921804443276
locationabbr_MD,0.04710200730263058,0.04710200730263058
locationabbr_IL,-0.013232390112566144,0.013232390112566144
locationabbr_VI,0.011136960531697184,0.011136960531697184
locationabbr_DE,-0.010628278317398704,0.010628278317398704
stratificationcategory1_Total,0.00834808737713132,0.00834808737713132
stratification1_Total,0.00834808737713132,0.00834808737713132
locationabbr_VA,-0.0061409549436985626,0.0061409549436985626
